Data Ke-,C0,C1,C2,C3,,User ID,Gender,Age,EstimatedSalary,Purchased,,,,,
0,,,,1,,15807837,Male,48,33000,1,,,,,
1,1,,,,,15592570,Male,47,23000,1,,,,,
2,,1,,,,15748589,Female,45,45000,1,,,,,
3,,1,,,,15635893,Male,60,42000,1,,,,,
4,,1,,,,15757632,Female,39,59000,0,,,,,
5,,1,,,,15691863,Female,46,41000,1,,,,,
6,,,1,,,15706071,Male,51,23000,1,,,,,
7,,,1,,,15654296,Female,50,20000,1,,,,,
8,,,,1,,15755018,Male,36,33000,0,,,,,
9,,,,1,,15594041,Female,49,36000,1,,,,,
,,,,,,,,,,,,,,,
Penentuan Cluster Baru,,X,Y,,,Data Ke-,X,Y,C0,C1,C2,C3,Minimum,Cluster,Keterangan
Centroid baru yang ke - 0,,47,23000,,,0,48,33000,10000.00005,23750.00001,23500.00064,9000.002347,9000.002347,3,Berubah
Centroid baru yang ke - 1,,47.5,46750,,,1,47,23000,0,1750.001786,20500.0022,8000.047265,0,0,Aman
Centroid baru yang ke - 2,,50.5,21500,,,2,45,45000,22000.00009,4750.016447,37500.00176,10000.02101,4750.016447,1,Berubah
Centroid baru yang ke - 3,,66.5,51000,,,3,60,42000,19000.00445,12250.00295,19500.00052,28000.00429,12250.00295,1,Berubah
,,,,,,4,39,59000,36000.00089,5750.000196,1500.000083,31000.00439,1500.000083,2,Berubah
,,,,,,5,46,41000,18000.00003,23750.00026,1500.000083,18000.02584,1500.000083,2,Berubah
,,,,,,6,51,23000,4,26750.00012,11500.00914,15000.01021,4,0,Aman
,,,,,,7,50,20000,3000.0015,13750.00481,14500.00008,51000.04336,3000.0015,0,Aman
,,,,,,8,36,33000,10000.00605,10750.0001,21500.05931,51000.04336,10000.00605,0,Aman
,,,,,,9,49,36000,13000.00015,46750.02413,21500.05931,51000.04336,13000.00015,0,Aman
